Date,Open,High,Low,Close,Adj Close,Volume
7/15/2005,53.9,57.01,52.74,55.84,55.84,15019.6
7/18/2005,NA,NA,NA,55.84,55.84,NA
7/19/2005,55.84,56.62,55.07,55.84,55.84,8878.6
7/20/2005,55.84,56.04,53.13,53.13,53.13,8169.8
7/21/2005,53.32,55.26,52.35,52.35,52.35,13228.4
7/22/2005,52.74,52.74,49.64,49.64,49.64,13010.4
7/25/2005,49.25,51.77,49.06,50.61,50.61,15910.6
7/26/2005,51.38,51.58,50.41,50.41,50.41,10702.9
7/27/2005,51.19,51.19,50.03,51,51,8228.1
7/28/2005,51.58,54.49,51.58,54.1,54.1,24288.9
7/29/2005,55.26,57.78,54.87,57.59,57.59,37823.6
8/1/2005,57.78,58.95,55.65,55.65,55.65,25251.2
8/2/2005,55.84,56.43,54.29,54.87,54.87,17827.5
8/3/2005,56.04,57.78,55.65,57.78,57.78,17241.1
8/4/2005,58.36,61.27,58.36,58.95,58.95,24504.5
8/5/2005,NA,NA,NA,58.95,58.95,NA
8/8/2005,58.17,59.14,57.78,58.17,58.17,8125.6
8/9/2005,58.36,58.75,54.49,56.62,56.62,11698.1
8/10/2005,55.46,55.84,52.93,53.13,53.13,21690.4
8/11/2005,53.32,55.26,51.58,52.74,52.74,13831.8
8/12/2005,53.9,54.1,49.64,50.41,50.41,20807
8/15/2005,49.91,50.98,47.56,48.2,48.2,20443.9
8/16/2005,48.2,51.4,48.2,51.4,51.4,15247.7
8/17/2005,51.4,54.82,50.55,54.6,54.6,19798
8/18/2005,55.24,55.88,53.32,53.32,53.32,14509.9
8/19/2005,53.32,53.54,52.26,52.9,52.9,6006.2
8/22/2005,53.75,54.82,53.54,54.6,54.6,6642.9
8/23/2005,55.03,55.03,54.39,54.6,54.6,6656.3
8/24/2005,55.67,57.16,55.67,56.1,56.1,13581.9
8/25/2005,56.1,58.66,55.88,57.8,57.8,13095.9
8/26/2005,58.66,59.51,56.31,56.31,56.31,13953.1
8/29/2005,56.1,56.95,53.32,53.96,53.96,10396.6
8/30/2005,55.03,55.46,53.54,53.96,53.96,10022.7
8/31/2005,53.96,54.82,52.68,52.9,52.9,9482.6
9/1/2005,NA,NA,NA,52.9,52.9,NA
9/2/2005,54.82,55.46,53.96,54.39,54.39,8092.2
9/5/2005,54.6,55.03,53.96,54.18,54.18,5905.1
9/6/2005,54.82,55.03,52.9,53.32,53.32,8806.7
9/7/2005,53.96,54.6,53.54,54.18,54.18,6858.6
